SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
30,20,3,0.003,2.0,5.0,0.01,9.996358450581575,28.57142857142857,2.00112277884788,3.499611068684335,14,10999.635845058157,41.52
30,20,2,0.005,2.0,5.0,0.01,9.992364665179648,28.57142857142857,2.0007543342559955,3.499491880684977,14,10999.236466517965,41.52
15,20,3,0.002,2.0,3.0,0.02,17.854422087817728,29.629629629629626,1.2443668857455423,15.126351820118611,54,11785.442208781773,41.49
15,20,3,0.005,2.0,3.0,0.02,17.854990760995786,29.629629629629626,1.244383499738649,15.125857611337116,54,11785.499076099579,41.49
25,20,2,0.003,2.0,3.0,0.02,12.119322710705092,31.818181818181817,1.408526447060928,9.909855791369496,22,11211.93227107051,41.42
25,20,2,0.005,2.0,3.0,0.02,12.119322710705092,31.818181818181817,1.408526447060928,9.909855791369496,22,11211.93227107051,41.42
20,20,2,0.002,1.5,3.0,0.01,9.92527984071001,30.0,1.2864434363735373,5.193170175004937,50,10992.527984071,41.41
20,20,2,0.003,1.5,3.0,0.01,9.92527984071001,30.0,1.2864434363735373,5.193170175004937,50,10992.527984071,41.41
30,20,1,0.002,1.5,4.0,0.01,6.000567357688633,33.33333333333333,2.0012104197291816,3.630853526484075,9,10600.056735768863,41.31
30,20,1,0.003,1.5,4.0,0.01,6.000567357688633,33.33333333333333,2.0012104197291816,3.630853526484075,9,10600.056735768863,41.31
15,20,3,0.003,2.0,3.0,0.02,17.205236698117716,29.629629629629626,1.2354821948128965,15.197361946863408,54,11720.523669811771,41.21
20,20,3,0.005,1.5,3.0,0.01,9.94521470966967,30.0,1.2871043602405823,6.008660345767662,50,10994.521470966967,41.18
20,20,2,0.005,2.0,4.0,0.01,11.938441857016697,27.27272727272727,1.4999420531868686,5.996973350694134,33,11193.84418570167,41.16
30,20,2,0.002,1.5,4.0,0.02,12.137974182549515,28.57142857142857,1.6134822478899327,8.035340668735337,14,11213.797418254951,41.02
30,20,2,0.003,1.5,4.0,0.02,12.137974182549515,28.57142857142857,1.6134822478899327,8.035340668735337,14,11213.797418254951,41.02
30,20,3,0.003,1.5,2.0,0.01,2.0020768480429614,36.36363636363637,1.1434319008989833,2.8412565110684214,22,10200.207684804296,40.86
30,20,3,0.005,1.5,2.0,0.01,2.0020768480429614,36.36363636363637,1.1434319008989833,2.8412565110684214,22,10200.207684804296,40.86
30,20,3,0.002,1.5,2.0,0.01,2.0020768480429614,36.36363636363637,1.1434319008989833,2.8412565110684214,22,10200.207684804296,40.86
30,20,3,0.003,1.5,3.0,0.02,10.46218080908533,31.57894736842105,1.4117194556557777,9.385942696323873,19,11046.218080908533,40.84
30,20,3,0.002,1.5,3.0,0.02,10.46218080908533,31.57894736842105,1.4117194556557777,9.385942696323873,19,11046.218080908533,40.84
30,20,3,0.005,1.5,3.0,0.02,10.462221367154035,31.57894736842105,1.4117217088857965,9.385909425831326,19,11046.222136715403,40.84
20,20,2,0.005,1.5,3.0,0.01,8.924685320560474,29.411764705882355,1.2504479893663878,5.236971269928572,51,10892.468532056047,40.82
30,20,2,0.005,1.5,3.0,0.01,6.001676804494837,33.33333333333333,1.5014397753810296,5.335574286797538,18,10600.167680449484,40.8
20,20,3,0.003,1.5,3.0,0.02,12.735480301891638,30.612244897959183,1.1989439418323715,11.719484546063816,49,11273.548030189164,40.76
20,20,3,0.002,1.5,3.0,0.02,12.735480301891638,30.612244897959183,1.1989439418323715,11.719484546063816,49,11273.548030189164,40.76
